Entry,Exit,Ticker,Lev,PnL%,Reason
2000-07-28,2000-07-31,NASDAQ,1.0,2.84,MOM_REV: -2.8%
2000-07-28,2000-07-31,XLK,1.0,2.05,MOM_REV: -3.4%
2000-07-31,2000-08-01,XLE,1.0,1.87,MOM_REV: -2.0%
2000-07-31,2000-08-01,RUSSELL2000,1.0,-0.57,MOM_REV: -3.8%
2000-07-31,2000-08-01,NASDAQ,1.0,-2.16,MOM_REV: -7.1%
2000-07-31,2000-08-01,XLK,1.0,-1.16,MOM_REV: -6.4%
2000-07-28,2000-08-02,SP500,1.0,1.32,MOM_REV: -2.1%
2000-08-01,2000-08-02,RUSSELL2000,1.0,0.49,MOM_REV: -4.5%
2000-08-01,2000-08-02,NASDAQ,1.0,-0.73,MOM_REV: -8.4%
2000-08-01,2000-08-02,XLK,1.0,-0.43,MOM_REV: -7.4%
2000-07-26,2000-08-03,PLATINUM,1.0,0.55,TRAIL
2000-08-02,2000-08-03,RUSSELL2000,1.0,-0.15,MOM_REV: -3.6%
2000-08-02,2000-08-03,NASDAQ,1.0,2.77,MOM_REV: -2.7%
2000-08-02,2000-08-03,XLK,1.0,1.92,MOM_REV: -2.5%
2000-08-03,2000-08-04,RUSSELL2000,1.0,0.84,MOM_REV: -3.8%
2000-08-03,2000-08-04,NASDAQ,1.0,0.73,MOM_REV: -4.4%
2000-08-03,2000-08-04,XLK,1.0,0.0,MOM_REV: -4.0%
2000-08-04,2000-08-07,RUSSELL2000,1.0,1.24,MOM_REV: -3.5%
2000-08-04,2000-08-07,NASDAQ,1.0,2.0,MOM_REV: -4.0%
2000-08-07,2000-08-08,RUSSELL2000,1.0,-0.23,MOM_REV: -4.2%
2000-08-07,2000-08-08,NASDAQ,1.0,-0.37,MOM_REV: -3.3%
2000-08-08,2000-08-09,RUSSELL2000,1.0,-0.24,MOM_REV: -4.2%
2000-08-08,2000-08-09,NASDAQ,1.0,0.13,MOM_REV: -2.6%
2000-07-28,2000-08-10,FTSE,1.0,0.81,MOM_REV: -2.0%
2000-08-02,2000-08-10,SP500,1.0,1.5,MOM_REV: -2.2%
2000-08-09,2000-08-10,RUSSELL2000,1.0,-1.15,MOM_REV: -7.1%
2000-08-09,2000-08-10,NASDAQ,1.0,-2.43,MOM_REV: -8.3%
2000-08-10,2000-08-11,RUSSELL2000,1.0,1.72,MOM_REV: -6.0%
2000-08-10,2000-08-11,NASDAQ,1.0,0.78,MOM_REV: -9.2%
2000-07-28,2000-08-14,HANGSENG,1.0,-1.08,TRAIL
2000-08-03,2000-08-14,PLATINUM,1.0,0.09,MOM_REV: -2.0%
2000-08-11,2000-08-14,RUSSELL2000,1.0,0.83,MOM_REV: -5.2%
2000-08-11,2000-08-14,NASDAQ,1.0,1.59,MOM_REV: -9.3%
2000-08-14,2000-08-15,HANGSENG,1.0,2.74,MOM_REV: -2.1%
2000-08-14,2000-08-15,RUSSELL2000,1.0,-0.88,MOM_REV: -6.5%
2000-08-14,2000-08-15,PLATINUM,1.0,1.45,MOM_REV: -3.1%
2000-08-14,2000-08-15,NASDAQ,1.0,0.05,MOM_REV: -9.9%
2000-08-15,2000-08-16,RUSSELL2000,1.0,0.55,MOM_REV: -4.4%
2000-08-15,2000-08-16,PLATINUM,1.0,-0.03,MOM_REV: -2.5%
2000-08-15,2000-08-16,NASDAQ,1.0,0.25,MOM_REV: -7.6%
2000-08-16,2000-08-17,RUSSELL2000,1.0,0.73,MOM_REV: -2.2%
2000-08-16,2000-08-17,PLATINUM,1.0,-0.94,MOM_REV: -3.3%
2000-08-16,2000-08-17,NASDAQ,1.0,2.06,MOM_REV: -2.8%
2000-07-27,2000-08-18,DAX,1.0,0.68,MOM_REV: -3.3%
2000-08-17,2000-08-18,RUSSELL2000,1.0,-0.18,MOM_REV: -3.6%
2000-08-17,2000-08-18,PLATINUM,1.0,-0.32,MOM_REV: -3.1%
2000-08-17,2000-08-18,NASDAQ,1.0,-0.27,MOM_REV: -6.1%
2000-08-15,2000-08-21,HANGSENG,1.0,0.22,MOM_REV: -2.3%
2000-08-18,2000-08-21,DAX,1.0,-0.46,MOM_REV: -2.4%
2000-08-18,2000-08-21,NASDAQ,1.0,0.58,MOM_REV: -3.5%
2000-07-24,2000-08-24,XLV,1.0,2.09,TRAIL
2000-08-21,2000-08-28,HANGSENG,1.0,-2.75,TRAIL
2000-08-18,2000-08-31,PLATINUM,1.0,3.88,MOM_REV: -2.9%
2000-08-31,2000-09-01,USDJPY,1.0,-0.67,MOM_REV: -2.2%
2000-09-01,2000-09-04,USDJPY,1.0,0.25,MOM_REV: -2.2%
2000-08-24,2000-09-05,XLV,1.0,-0.89,TRAIL
2000-09-04,2000-09-05,USDJPY,1.0,-0.33,MOM_REV: -2.9%
2000-08-10,2000-09-06,SP500,1.0,2.19,TRAIL
2000-08-21,2000-09-06,NASDAQ,1.0,1.52,TRAIL
2000-09-05,2000-09-06,XLV,1.0,-0.42,MOM_REV: -2.1%
2000-09-06,2000-09-07,XLV,1.0,-0.8,MOM_REV: -3.2%
2000-08-10,2000-09-08,FTSE,1.0,3.34,TRAIL
2000-08-18,2000-09-11,RUSSELL2000,1.0,3.51,TRAIL
2000-08-21,2000-09-11,DAX,1.0,0.21,TRAIL
2000-08-28,2000-09-11,HANGSENG,1.0,-0.07,TRAIL
2000-09-06,2000-09-11,NASDAQ,1.0,-2.92,TRAIL
2000-09-07,2000-09-11,USDJPY,1.0,0.9,MOM_REV: -2.2%
2000-09-11,2000-09-12,DAX,1.0,-1.09,MOM_REV: -2.7%
2000-09-11,2000-09-12,USDJPY,1.0,0.78,MOM_REV: -2.3%
2000-09-11,2000-09-12,HANGSENG,1.0,-2.22,MOM_REV: -2.2%
2000-09-11,2000-09-12,XLV,1.0,-0.05,MOM_REV: -2.7%
2000-09-12,2000-09-13,DAX,1.0,-1.81,MOM_REV: -4.1%
2000-09-12,2000-09-13,XLV,1.0,1.07,MOM_REV: -2.8%
2000-08-04,2000-09-14,DOW,1.0,2.97,TRAIL
2000-09-05,2000-09-14,PLATINUM,1.0,-2.58,TRAIL
2000-09-12,2000-09-14,HANGSENG,1.0,-1.41,MOM_REV: -6.1%
2000-09-13,2000-09-14,DAX,1.0,0.6,MOM_REV: -3.6%
2000-09-13,2000-09-14,XLV,1.0,-1.06,MOM_REV: -3.3%
2000-09-06,2000-09-15,SP500,1.0,-1.77,TRAIL
2000-09-08,2000-09-15,FTSE,1.0,-2.78,TRAIL
2000-09-14,2000-09-15,DAX,1.0,-0.69,MOM_REV: -3.8%
2000-09-14,2000-09-15,HANGSENG,1.0,-0.89,MOM_REV: -8.4%
2000-09-14,2000-09-15,XLV,1.0,-0.43,MOM_REV: -2.3%
2000-07-19,2000-09-18,XLF,1.0,9.98,TRAIL
2000-09-11,2000-09-18,RUSSELL2000,1.0,-3.17,TRAIL
2000-09-14,2000-09-18,DOW,1.0,-2.52,TRAIL
2000-09-15,2000-09-18,DAX,1.0,-1.54,MOM_REV: -4.7%
2000-09-15,2000-09-18,HANGSENG,1.0,-4.24,STOP: -4.2%
2000-09-15,2000-09-18,SP500,1.0,-1.45,MOM_REV: -3.4%
2000-09-15,2000-09-18,NASDAQ,1.0,-2.83,MOM_REV: -5.4%
2000-09-15,2000-09-19,FTSE,1.0,-0.22,MOM_REV: -2.1%
2000-09-18,2000-09-19,DAX,1.0,0.67,MOM_REV: -3.6%
2000-09-18,2000-09-19,HANGSENG,1.0,0.75,MOM_REV: -10.1%
2000-09-18,2000-09-19,SP500,1.0,1.07,MOM_REV: -2.1%
2000-09-18,2000-09-19,XLK,1.0,3.9,MOM_REV: -4.8%
2000-08-01,2000-09-20,XLE,1.0,9.56,TRAIL
2000-09-19,2000-09-20,DAX,1.0,-2.49,MOM_REV: -6.7%
2000-09-19,2000-09-20,DOW,1.0,-0.94,MOM_REV: -3.5%
2000-09-19,2000-09-20,HANGSENG,1.0,-0.07,MOM_REV: -10.5%
2000-09-19,2000-09-20,FTSE,1.0,-1.93,MOM_REV: -4.0%
2000-09-19,2000-09-20,SP500,1.0,-0.59,MOM_REV: -3.2%
2000-09-18,2000-09-21,NASDAQ,1.0,2.75,MOM_REV: -3.3%
2000-09-20,2000-09-21,DAX,1.0,-1.22,MOM_REV: -7.6%
2000-09-20,2000-09-21,DOW,1.0,0.73,MOM_REV: -3.4%
2000-09-20,2000-09-21,HANGSENG,1.0,-3.2,MOM_REV: -14.2%
2000-09-20,2000-09-21,FTSE,1.0,-1.29,MOM_REV: -5.9%
2000-09-20,2000-09-21,SP500,1.0,-0.16,MOM_REV: -3.3%
2000-07-26,2000-09-22,DXY,1.0,5.04,TRAIL
2000-09-20,2000-09-22,XLE,1.0,-1.4,MOM_REV: -3.4%
2000-09-21,2000-09-22,DAX,1.0,0.86,MOM_REV: -6.8%
2000-09-21,2000-09-22,DOW,1.0,0.76,MOM_REV: -2.7%
2000-09-21,2000-09-22,HANGSENG,1.0,-3.64,STOP: -3.6%
2000-09-21,2000-09-22,FTSE,1.0,0.11,MOM_REV: -5.5%
2000-09-21,2000-09-22,SP500,1.0,-0.02,MOM_REV: -3.8%
2000-09-21,2000-09-22,NASDAQ,1.0,-0.66,MOM_REV: -5.2%
2000-09-22,2000-09-25,DAX,1.0,0.72,MOM_REV: -7.1%
2000-09-22,2000-09-25,DOW,1.0,-0.36,MOM_REV: -3.3%
2000-09-22,2000-09-25,HANGSENG,1.0,5.58,MOM_REV: -11.5%
2000-09-22,2000-09-25,XLE,1.0,-1.51,MOM_REV: -2.8%
2000-09-22,2000-09-25,FTSE,1.0,0.83,MOM_REV: -4.6%
2000-09-22,2000-09-25,SP500,1.0,-0.67,MOM_REV: -4.6%
2000-09-22,2000-09-25,NASDAQ,1.0,-1.64,MOM_REV: -7.7%
2000-09-14,2000-09-26,PLATINUM,1.0,-3.04,TRAIL
2000-09-18,2000-09-26,RUSSELL2000,1.0,-1.31,MOM_REV: -2.9%
2000-09-25,2000-09-26,DAX,1.0,-0.35,MOM_REV: -7.8%
2000-09-25,2000-09-26,DOW,1.0,-1.64,MOM_REV: -5.0%
2000-09-25,2000-09-26,HANGSENG,1.0,-0.9,MOM_REV: -11.3%
2000-09-25,2000-09-26,FTSE,1.0,-0.7,MOM_REV: -5.3%
2000-09-25,2000-09-26,SP500,1.0,-0.82,MOM_REV: -5.3%
2000-09-25,2000-09-26,NASDAQ,1.0,-1.39,MOM_REV: -8.7%
2000-09-26,2000-09-27,DAX,1.0,0.72,MOM_REV: -6.6%
2000-09-26,2000-09-27,DOW,1.0,-0.03,MOM_REV: -5.5%
2000-09-26,2000-09-27,HANGSENG,1.0,1.0,MOM_REV: -9.3%
2000-09-26,2000-09-27,RUSSELL2000,1.0,-0.35,MOM_REV: -3.5%
2000-09-26,2000-09-27,FTSE,1.0,0.9,MOM_REV: -4.8%
2000-09-26,2000-09-27,PLATINUM,1.0,0.3,MOM_REV: -2.9%
2000-09-26,2000-09-27,SP500,1.0,-0.04,MOM_REV: -5.8%
2000-09-26,2000-09-27,NASDAQ,1.0,-0.89,MOM_REV: -10.2%
2000-09-27,2000-09-28,DAX,1.0,0.27,MOM_REV: -4.9%
2000-09-27,2000-09-28,DOW,1.0,1.84,MOM_REV: -3.5%
2000-09-27,2000-09-28,HANGSENG,1.0,-0.18,MOM_REV: -10.6%
2000-09-27,2000-09-28,FTSE,1.0,-0.08,MOM_REV: -5.3%
2000-09-27,2000-09-28,PLATINUM,1.0,1.58,MOM_REV: -2.6%
2000-09-27,2000-09-28,SP500,1.0,2.22,MOM_REV: -3.4%
2000-09-27,2000-09-28,NASDAQ,1.0,3.34,MOM_REV: -7.4%
2000-09-27,2000-09-29,RUSSELL2000,1.0,2.61,MOM_REV: -2.1%
2000-09-28,2000-09-29,DAX,1.0,-0.51,MOM_REV: -5.8%
2000-09-28,2000-09-29,DOW,1.0,-1.6,MOM_REV: -4.1%
2000-09-28,2000-09-29,HANGSENG,1.0,1.51,MOM_REV: -8.5%
2000-09-28,2000-09-29,FTSE,1.0,0.48,MOM_REV: -5.7%
2000-09-28,2000-09-29,PLATINUM,1.0,0.02,MOM_REV: -2.1%
2000-09-28,2000-09-29,SP500,1.0,-1.49,MOM_REV: -4.4%
2000-09-28,2000-09-29,NASDAQ,1.0,-2.79,MOM_REV: -10.5%
2000-09-29,2000-10-02,DAX,1.0,0.94,MOM_REV: -6.6%
2000-09-29,2000-10-02,DOW,1.0,0.46,MOM_REV: -4.6%
2000-09-29,2000-10-02,RUSSELL2000,1.0,-1.86,MOM_REV: -4.9%
2000-09-29,2000-10-02,FTSE,1.0,-0.15,MOM_REV: -7.5%
2000-09-29,2000-10-02,SP500,1.0,-0.02,MOM_REV: -5.4%
2000-09-29,2000-10-02,NASDAQ,1.0,-2.83,MOM_REV: -15.2%
2000-09-29,2000-10-03,HANGSENG,1.0,0.49,MOM_REV: -8.0%
2000-09-29,2000-10-03,PLATINUM,1.0,0.33,MOM_REV: -2.5%
2000-10-02,2000-10-03,DOW,1.0,0.18,MOM_REV: -4.6%
2000-10-02,2000-10-03,RUSSELL2000,1.0,-1.37,MOM_REV: -6.9%
2000-10-02,2000-10-03,FTSE,1.0,0.96,MOM_REV: -6.7%
2000-10-02,2000-10-03,SP500,1.0,-0.68,MOM_REV: -6.2%
2000-10-02,2000-10-03,NASDAQ,1.0,-3.17,MOM_REV: -18.4%
2000-10-02,2000-10-04,DAX,1.0,-0.57,MOM_REV: -8.4%
2000-10-03,2000-10-04,DOW,1.0,0.6,MOM_REV: -4.2%
2000-10-03,2000-10-04,HANGSENG,1.0,0.97,MOM_REV: -8.4%
2000-10-03,2000-10-04,RUSSELL2000,1.0,0.56,MOM_REV: -5.8%
2000-10-03,2000-10-04,FTSE,1.0,-0.16,MOM_REV: -6.2%
2000-10-03,2000-10-04,PLATINUM,1.0,0.22,MOM_REV: -3.2%
2000-10-03,2000-10-04,SP500,1.0,0.55,MOM_REV: -4.8%
2000-10-03,2000-10-04,NASDAQ,1.0,1.95,MOM_REV: -15.0%
2000-09-25,2000-10-05,XLE,1.0,2.83,MOM_REV: -2.7%
2000-10-04,2000-10-05,DAX,1.0,1.01,MOM_REV: -6.8%
2000-10-04,2000-10-05,DOW,1.0,-0.55,MOM_REV: -5.2%
2000-10-04,2000-10-05,HANGSENG,1.0,1.93,MOM_REV: -8.7%
2000-10-04,2000-10-05,RUSSELL2000,1.0,-0.95,MOM_REV: -6.3%
2000-10-04,2000-10-05,FTSE,1.0,0.74,MOM_REV: -4.7%
2000-10-04,2000-10-05,PLATINUM,1.0,1.43,MOM_REV: -3.4%
2000-10-04,2000-10-05,SP500,1.0,0.14,MOM_REV: -3.8%
2000-10-04,2000-10-05,NASDAQ,1.0,-1.45,MOM_REV: -13.5%
2000-09-18,2000-10-06,XLF,1.0,1.35,TRAIL
2000-10-05,2000-10-06,DAX,1.0,-1.68,MOM_REV: -7.6%
2000-10-05,2000-10-06,DOW,1.0,-1.2,MOM_REV: -5.9%
2000-10-05,2000-10-06,XLE,1.0,-0.43,MOM_REV: -2.6%
2000-10-05,2000-10-06,RUSSELL2000,1.0,-2.32,MOM_REV: -9.5%
2000-10-05,2000-10-06,FTSE,1.0,0.14,MOM_REV: -4.5%
2000-10-05,2000-10-06,PLATINUM,1.0,-0.76,MOM_REV: -3.4%
2000-10-05,2000-10-06,SP500,1.0,-1.9,MOM_REV: -6.2%
2000-10-05,2000-10-09,HANGSENG,1.0,-3.03,MOM_REV: -10.8%
2000-10-06,2000-10-09,DAX,1.0,-1.41,MOM_REV: -9.4%
2000-10-06,2000-10-09,RUSSELL2000,1.0,-0.3,MOM_REV: -8.6%
2000-10-06,2000-10-09,FTSE,1.0,-1.98,MOM_REV: -5.1%
2000-10-06,2000-10-09,PLATINUM,1.0,0.26,MOM_REV: -4.1%
2000-10-06,2000-10-09,XLF,1.0,-1.56,MOM_REV: -4.4%
2000-10-06,2000-10-09,SP500,1.0,-0.49,MOM_REV: -6.2%
2000-10-06,2000-10-09,NASDAQ,1.0,-0.16,MOM_REV: -15.7%
2000-09-12,2000-10-10,USDJPY,1.0,0.75,TRAIL
2000-10-05,2000-10-11,XLV,1.0,-5.3,STOP: -5.3%
2000-10-06,2000-10-16,XLE,1.0,1.36,TRAIL
2000-10-20,2000-10-23,HANGSENG,1.0,0.38,MOM_REV: -3.6%
2000-10-20,2000-10-23,RUSSELL2000,1.0,0.51,MOM_REV: -5.6%
2000-10-20,2000-10-23,XLF,1.0,-1.67,MOM_REV: -4.9%
2000-10-20,2000-10-23,SP500,1.0,-0.08,MOM_REV: -3.7%
2000-10-20,2000-10-23,NASDAQ,1.0,-0.41,MOM_REV: -8.8%
2000-10-20,2000-10-23,XLK,1.0,-0.62,MOM_REV: -8.6%
2000-10-20,2000-10-24,PLATINUM,1.0,-3.13,TRAIL
2000-10-20,2000-10-25,XLE,1.0,-5.62,STOP: -5.6%
2000-10-24,2000-10-25,DOW,1.0,-0.64,MOM_REV: -2.9%
2000-10-24,2000-10-25,RUSSELL2000,1.0,-2.59,MOM_REV: -6.8%
2000-10-24,2000-10-25,XLF,1.0,0.57,MOM_REV: -2.9%
2000-10-24,2000-10-25,SP500,1.0,-2.38,MOM_REV: -4.4%
2000-10-24,2000-10-25,NASDAQ,1.0,-5.56,STOP: -5.6%
2000-10-24,2000-10-26,HANGSENG,1.0,0.47,MOM_REV: -2.8%
2000-10-24,2000-10-27,PLATINUM,1.0,-2.85,TRAIL
2000-10-26,2000-10-27,HANGSENG,1.0,-0.63,MOM_REV: -2.5%
2000-10-26,2000-10-27,XLE,1.0,-0.7,MOM_REV: -4.9%
2000-10-26,2000-10-27,RUSSELL2000,1.0,0.02,MOM_REV: -8.4%
2000-10-26,2000-10-27,XLF,1.0,3.28,MOM_REV: -5.4%
2000-10-26,2000-10-27,SP500,1.0,1.11,MOM_REV: -5.4%
