date,asset,trailing_12m,price,fwd_21d,fwd_63d,fwd_126d,fwd_252d,below_50sma,rsi_below_50,rsi,pct_above_200sma,breakdown_signal
2022-10-27,XLE,0.6186656134895283,39.76639938354492,0.004609707321860279,0.01257131861093308,-0.03390620366994246,-0.009573195819127633,False,False,69.83331208280029,0.18560024728351388,False
2022-10-28,XLE,0.6127956369897523,39.90500259399414,0.016246470054986917,0.01799690025396572,-0.07912487475930507,-0.009758665088338336,False,False,77.45047640741812,0.18752701540984695,False
2022-10-31,XLE,0.6371019494040482,40.24033737182617,0.01277770673205958,-0.010355526994018205,-0.10403978172606587,-0.02031612616569356,False,False,81.42177684134988,0.19520618958812697,False
2022-11-01,XLE,0.6249357794176031,40.62932968139648,-0.00021998481794904823,-0.04217784030867333,-0.12250403375917229,-0.0003546234133136039,False,False,81.67359300481742,0.20449161518541747,False
2022-11-02,XLE,0.6008350054825342,39.650146484375,0.01838042310368393,-0.020688474788648326,-0.07642902938296992,0.014037264403627958,False,False,66.64574432613512,0.1734471061329106,False
2022-11-03,XLE,0.644066988514187,40.3834114074707,-0.029783014204532332,-0.04283293764781526,-0.09319884087585528,-0.015631663997958123,False,False,84.81274114026776,0.19293697297832235,False
2022-11-04,XLE,0.6617751057530001,40.87524032592773,-0.06672503235824168,-0.023627652645554997,-0.10377492755850815,-0.04903716673857372,False,False,84.91735561470622,0.20510314680330777,False
2022-11-07,XLE,0.6685534672553768,41.57720184326172,-0.08463252487748196,-0.048695162788802926,-0.12889626719871727,-0.07680691470045453,False,False,85.76069319590724,0.22318037187293616,False
2022-11-08,XLE,0.6551120126009673,41.617454528808594,-0.08960036356416812,-0.05775586754106388,-0.14015781823368167,-0.08048623591010107,False,False,83.21836645700012,0.22178030063238952,False
2022-11-09,XLE,0.5678051705784111,39.58307647705078,-0.06607924123685271,0.029471498292385823,-0.09458210531408284,-0.02256384784569232,False,False,61.529636059498586,0.1601339946800031,False
2022-11-10,XLE,0.6461969231600113,40.46389389038086,-0.062430855838211285,0.00449461209365154,-0.10977955226777769,-0.036962707144949314,False,False,60.469183470042175,0.18383038221402637,False
2022-11-11,XLE,0.6875762670593555,41.63979721069336,-0.07162009900854949,-0.023546892376184125,-0.1561843057423291,-0.05580405259507404,False,False,65.02329531140629,0.21590583268718744,False
2022-11-14,XLE,0.6911370480579822,41.62639617919922,-0.07701397804824184,-0.03983574212503338,-0.13968462561319483,-0.05728287196518367,False,False,64.75794012269657,0.2131777380639326,False
2022-11-15,XLE,0.6948026054253336,42.0645637512207,-0.09215557161516585,-0.05917997622738358,-0.14246121759797548,-0.08529756987706416,False,False,64.36843442938755,0.2235399554376658,False
2022-11-16,XLE,0.6576444547295486,41.20610809326172,-0.08463530697373267,-0.07378262077883457,-0.11783880553241666,-0.046654515756159975,False,False,57.81554606378411,0.19654627667510716,False
2022-11-17,XLE,0.6870756791257371,41.295528411865234,-0.08672688013117325,-0.08038243478863316,-0.12339646432571616,-0.047370830109811246,False,False,57.58907826295515,0.1971227224826253,False
2022-11-18,XLE,0.6837443241223797,40.96913146972656,-0.06555831703571724,-0.07923043718083711,-0.10694293345172146,-0.041932577590743536,False,False,53.98142671906632,0.18567099414577237,False
2022-11-21,XLE,0.7284056236742149,40.41471099853516,-0.03474433936031196,-0.05251605695573014,-0.09073890784950733,-0.029248549762829312,False,True,48.84834679497711,0.16784048642765081,False
2022-11-22,XLE,0.751444706344766,41.68004989624024,-0.08561504826712019,-0.08247213686399879,-0.13400242994460565,-0.05482403494361032,False,False,60.56800176991647,0.20241536164863994,False
2022-11-23,XLE,0.6808115637934034,41.22846221923828,-0.04612671188958639,-0.06968304540223469,-0.1279487747453366,-0.04784658182789203,False,False,54.532401066702455,0.18739288545979438,False
2022-11-25,XLE,0.658420289327182,41.07644271850586,-0.032369134940628874,-0.07965643948895362,-0.1337221974521967,-0.0440967230231436,False,False,51.11996616149566,0.1811016715878604,False
2022-11-28,XLE,0.680545864884625,39.94971084594727,-0.02735372583080553,-0.03504256879658196,-0.12494231362538577,-0.024451574812961674,False,True,41.349842765701666,0.14700421616236548,False
2022-11-29,XLE,0.6961721520417254,40.55331802368164,-0.0318056697284278,-0.04105106205934095,-0.12727460346620822,-0.032566477301962604,False,True,44.66365311076634,0.1626573201206356,False
2022-11-30,XLE,0.7454923310872492,40.7545166015625,-0.030489297941358795,-0.03281698820766743,-0.10515210671506992,-0.032334751588235955,False,False,57.197818476383716,0.16659130095134622,False
2022-12-01,XLE,0.7584307607046805,40.620391845703125,-0.06142814802460317,-0.029178490048074823,-0.10815266755769326,-0.03359324112034945,False,False,51.058738639044066,0.16089992266685704,False
2022-12-02,XLE,0.6986017511889306,40.37893295288086,-0.055927603861845365,-0.04037734191332232,-0.09558534902143057,-0.04481546929904734,False,True,40.23544036944426,0.15224286244373708,False
2022-12-05,XLE,0.6613470073812908,39.18067169189453,-0.00929999071169274,-0.021175198700649545,-0.043228600041787635,-0.030283289478373,False,True,33.99644150143875,0.11653355672901089,False
