donchian_entry,donchian_exit,sma_filter,atr_multiplier,risk_per_trade,cagr,sharpe,sortino,max_dd,calmar,win_rate,final_equity
40,10,250,2.0,0.005,0.09229446115115203,0.4770865358265787,0.535468160682277,-0.1458298682013319,0.6328913431076466,0.75,1489320.0232009315
55,20,200,3.0,0.01,0.10791209237371979,0.4767885950111714,0.48324131652374547,-0.2911639981372689,0.37062306145021673,0.8,1622062.054936913
80,10,250,2.5,0.005,0.0810903406222272,0.47571560627867504,0.5146390233674721,-0.12326543528588191,0.6578514117453882,0.75,1421623.3356763753
80,30,250,3.0,0.005,0.07455674427763603,0.4740892071939731,0.5278825739731867,-0.09659420576906932,0.7718552441528541,0.75,1383267.4657914857
80,20,150,2.5,0.005,0.08370586341572217,0.47202425656648134,0.5115602703103955,-0.17226458101177974,0.48591453288937103,0.8,1484465.7087518554
40,30,250,3.0,0.005,0.0750604898801952,0.46751264427509154,0.5387725321589278,-0.09884762266089471,0.7593555399677814,0.75,1386195.7455267631
40,20,200,3.0,0.01,0.10545347970438712,0.46327078638959196,0.46439298297733217,-0.2911639981372689,0.3621789794721503,0.8,1605141.8116963126
80,10,150,2.0,0.0075,0.10738219027772278,0.46138689856431103,0.4391079053717593,-0.2867588833288418,0.3744685745431009,0.8,1650812.2073576043
55,30,200,2.5,0.0075,0.09836852212172809,0.46089872216489275,0.4723818951463811,-0.2506658896682642,0.3924288312698261,0.8,1557159.7152853643
40,30,150,2.0,0.005,0.09295019234191537,0.4606651542151712,0.5278317574593162,-0.18073391450225412,0.5142930290526967,0.8,1547744.5732651795
40,30,150,2.5,0.0075,0.10079791383107284,0.4591423512781992,0.5059632447373585,-0.23166155930044097,0.4351085011059104,0.6,1603133.086094985
80,20,200,3.0,0.01,0.1027655102282572,0.45795202041230393,0.43225383661356503,-0.2977074502118383,0.3451895817693941,0.6,1586802.6285262583
55,20,150,3.0,0.01,0.10481339180207727,0.456434263854818,0.47623724453664323,-0.2855465932560379,0.36706230884041896,0.8,1632078.117570167
55,10,250,2.0,0.005,0.08844697129944867,0.4541745964560522,0.5022842869479179,-0.14249933442818757,0.6206833993601665,0.75,1465796.2952601076
80,30,200,2.5,0.01,0.1091770701028647,0.45246112208487393,0.40326685270677787,-0.3333298977386299,0.32753458613686204,0.6,1630822.262031793
40,30,200,2.0,0.005,0.08982887342772217,0.44954253530370786,0.4764421137819441,-0.1968327134615642,0.4563716663148231,0.8,1500836.1005147519
80,30,200,2.0,0.005,0.08879444457195751,0.44948891058689994,0.44911230601290797,-0.20182154867203447,0.43996513333792175,0.6,1494124.0399215252
40,30,200,2.5,0.0075,0.09617058508948717,0.4470551495794814,0.4537859080554008,-0.2506658896682642,0.3836604382700856,0.8,1542506.5715886531
55,30,200,2.0,0.005,0.0885484036496651,0.44346126912690575,0.4703311847740865,-0.1968327134615642,0.4498662955584163,0.8,1492531.051583379
80,10,200,2.0,0.01,0.11628751824277539,0.44233272937435014,0.36630678275475437,-0.37862533923595426,0.30713083936071844,0.6,1680759.831768295
80,30,150,3.0,0.0075,0.08966859949328021,0.44208977065700955,0.48765077609906154,-0.20731803081981168,0.4325171290634858,0.8,1525040.4032945114
55,30,150,2.5,0.01,0.11040586264319474,0.4419412573657769,0.44977117844661074,-0.3011089781670019,0.3666641337474871,0.6,1673082.707726229
55,20,200,2.5,0.005,0.07866346285659787,0.43999499997278585,0.48172877015802856,-0.17164749961348763,0.4582849329802686,0.8,1429629.7302936132
40,20,150,3.0,0.0075,0.08904702668546105,0.4390888026376335,0.4788942970660371,-0.21888281983067007,0.40682510739924094,0.8,1520770.0060049458
55,10,250,2.5,0.005,0.077758662658034,0.43878514600032653,0.4887703906191699,-0.12523898884358398,0.6208822298553522,0.75,1401962.496461907
40,30,150,3.0,0.01,0.10102267410494115,0.4373765654993825,0.45764779196848787,-0.27034196036766694,0.37368477304651343,0.6,1604742.3575754473
40,20,150,2.5,0.005,0.07960131898012857,0.4349637638829159,0.49567306305486364,-0.16821958471850507,0.4731988793892914,0.8,1457038.7005498025
40,10,250,2.5,0.005,0.07726079719789092,0.4330746180485645,0.4824340015347849,-0.1295916091239107,0.5961867262873246,0.75,1399042.7740686606
80,10,150,2.5,0.01,0.10354997741811256,0.4310639920043755,0.39062553013833623,-0.31880652194310644,0.3248050786005936,0.8,1622926.454628654
55,20,200,3.0,0.0075,0.0862467602926218,0.4304534673723369,0.44929246897936514,-0.2231405399643267,0.3865131827072301,0.8,1477693.8297541551
55,10,250,3.0,0.0075,0.08528558640568407,0.42934294899868325,0.46028331973242786,-0.15948153570267845,0.5347677775355891,0.75,1446684.766469203
40,20,200,2.5,0.005,0.07719475729663183,0.4268228910397136,0.46329689833621324,-0.17164749961348763,0.44972841125246465,0.8,1420465.005123343
55,30,150,2.0,0.005,0.08707531425037729,0.4251702938147608,0.47952111126937796,-0.18073391450225407,0.48178735291704927,0.8,1507286.7198577016
40,10,250,3.0,0.0075,0.08458620076584289,0.4236801844403179,0.4528862943842147,-0.16475360483926835,0.5134103186899259,0.75,1442483.0948752526
80,30,200,2.5,0.0075,0.09050917770616662,0.4220548063031245,0.39569135620562895,-0.2565772739663455,0.3527560189061735,0.8,1505263.3035812497
