date,asset,action,price,signals,bubble_score,pnl_pct,reason
2006-08-08,SUGAR,PARTIAL_COVER,13.989999771118164,,,21.18309988102443,
2006-08-14,SUGAR,COVER,12.5,,,29.577464788732392,time_stop (126 days)
2006-10-31,WHEAT,SHORT,483.0,"['rsi_breakdown', 'lower_high']",3.0,,
2006-11-13,SILVER,COVER,12.854999542236328,,,2.2953565040126516,time_stop (126 days)
2006-11-16,GOLD,COVER,620.5999755859375,,,5.497188358466613,time_stop (126 days)
2006-11-29,COPPER,COVER,3.128000020980835,,,15.834791226735264,time_stop (126 days)
2006-12-13,CORN,SHORT,354.5,"['lower_high', 'momentum_flip']",4.0,,
2007-01-17,CORN,COVER,408.0,,,-15.091678420310295,stop_loss (-15.1%)
2007-03-09,CORN,SHORT,408.25,"['rsi_breakdown', 'lower_high']",4.0,,
2007-05-03,WHEAT,COVER,481.0,,,0.4140786749482402,time_stop (126 days)
2007-07-03,CORN,PARTIAL_COVER,320.0,,,21.616656460502142,
2007-07-03,WHEAT,SHORT,571.5,"['rsi_breakdown', 'lower_high']",3.0,,
2007-07-23,SOYBEANS,SHORT,816.25,"['broke_50sma', 'rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2007-08-02,PLATINUM,COVER,1297.0,,,-8.982440686248314,time_stop (126 days)
2007-08-06,WHEAT,COVER,664.0,,,-16.185476815398076,stop_loss (-16.2%)
2007-09-07,CORN,COVER,331.25,,,18.86099203919167,time_stop (126 days)
2007-09-14,SOYBEANS,COVER,941.0,,,-15.283307810107196,stop_loss (-15.3%)
2007-10-05,SOYBEANS,SHORT,940.5,"['rsi_breakdown', 'lower_high']",3.0,,
2007-10-08,WHEAT,SHORT,860.0,"['rsi_breakdown', 'lower_high']",5.0,,
2007-11-05,HANGSENG,SHORT,28942.3203125,"['rsi_breakdown', 'lower_high']",3.0,,
2007-11-20,SOYBEANS,COVER,1087.0,,,-15.576820839978733,stop_loss (-15.6%)
2007-11-30,CRUDE,SHORT,88.70999908447266,"['broke_50sma', 'lower_high', 'momentum_flip']",3.0,,
2008-01-22,HANGSENG,PARTIAL_COVER,21757.630859375,,,24.824165359064107,
2008-01-23,SOYBEANS,SHORT,1189.5,"['rsi_breakdown', 'lower_high']",3.0,,
2008-02-05,WHEAT,COVER,1003.0,,,-16.627906976744185,stop_loss (-16.6%)
2008-02-13,CORN,SHORT,497.0,"['lower_high', 'momentum_flip']",3.0,,
2008-02-14,SOYBEANS,COVER,1368.0,,,-15.006305170239598,stop_loss (-15.0%)
2008-02-28,CRUDE,COVER,102.58999633789062,,,-15.646485623566479,stop_loss (-15.6%)
2008-02-29,WHEAT,SHORT,1073.0,"['rsi_breakdown', 'lower_high']",4.0,,
2008-03-07,SOYBEANS,SHORT,1341.0,"['rsi_breakdown', 'lower_high']",4.0,,
2008-03-10,PLATINUM,SHORT,2014.0999755859373,"['rsi_breakdown', 'lower_high']",4.0,,
2008-03-11,WHEAT,COVER,1240.0,,,-15.563839701770737,stop_loss (-15.6%)
2008-03-17,WHEAT,SHORT,1131.5,"['rsi_breakdown', 'lower_high']",4.0,,
2008-04-01,WHEAT,PARTIAL_COVER,895.0,,,20.901458241272646,
2008-04-01,CORN,COVER,584.0,,,-17.50503018108652,stop_loss (-17.5%)
2008-04-04,NATGAS,SHORT,9.321999549865724,"['lower_high', 'momentum_flip']",3.0,,
2008-04-21,NATGAS,COVER,10.732999801635742,,,-15.136240290746873,stop_loss (-15.1%)
2008-04-21,SUGAR,SHORT,11.829999923706056,"['lower_high', 'momentum_flip']",3.0,,
2008-05-13,HANGSENG,COVER,25552.76953125,,,11.711399585976094,time_stop (126 days)
2008-05-22,COTTON,SHORT,69.98999786376953,"['lower_high', 'momentum_flip']",3.0,,
2008-06-13,SOYBEANS,COVER,1560.0,,,-16.331096196868007,stop_loss (-16.3%)
2008-06-17,GOLD,SHORT,884.2999877929688,"['lower_high', 'momentum_flip']",3.0,,
2008-07-01,SUGAR,COVER,13.720000267028809,,,-15.976334366117731,stop_loss (-16.0%)
2008-07-08,NATGAS,SHORT,12.368000030517578,"['rsi_breakdown', 'lower_high', 'momentum_flip']",4.0,,
2008-07-23,NATGAS,PARTIAL_COVER,9.788000106811523,,,20.86028393709574,
2008-09-02,NATGAS,COVER,7.261000156402588,,,41.29204286476115,profit_target (41.3%)
2008-09-03,SOYBEANS,SHORT,1251.0,"['rsi_breakdown', 'lower_high']",3.0,,
2008-09-12,SOYBEANS,COVER,1490.0,,,-19.104716227018383,stop_loss (-19.1%)
2008-09-15,WHEAT,COVER,727.0,,,35.74900574458683,time_stop (126 days)
2008-09-18,CORN,SHORT,527.25,"['lower_high', 'momentum_flip']",4.0,,
2008-09-23,CRUDE,SHORT,106.61000061035156,"['broke_50sma', 'rsi_breakdown', 'lower_high']",3.0,,
2008-09-29,COTTON,PARTIAL_COVER,55.060001373291016,,,21.33161443944987,
2008-09-29,PLATINUM,COVER,1075.4000244140625,,,46.60642284645232,profit_target (46.6%)
2008-10-07,CORN,PARTIAL_COVER,417.0,,,20.910384068278805,
2008-10-07,SILVER,SHORT,11.324999809265137,"['rsi_breakdown', 'lower_high']",4.0,,
2008-10-10,CRUDE,PARTIAL_COVER,77.69999694824219,,,27.117534468246017,
2008-10-27,CRUDE,COVER,63.220001220703125,,,40.69974593493753,profit_target (40.7%)
2008-10-28,SILVER,PARTIAL_COVER,8.789999961853027,,,22.384104989902,
2008-11-10,COTTON,COVER,41.2400016784668,,,41.077292560091976,profit_target (41.1%)
2008-11-13,GOLD,PARTIAL_COVER,704.9000244140625,,,20.287228978330276,
2008-12-05,CORN,COVER,293.5,,,44.333807491702224,profit_target (44.3%)
2008-12-15,GOLD,COVER,835.4000244140625,,,5.529793515088756,time_stop (126 days)
2009-02-06,SILVER,COVER,13.154999732971191,,,-16.158939995821516,stop_loss (-16.2%)
2009-06-15,SILVER,SHORT,14.020000457763672,"['rsi_breakdown', 'lower_high']",3.0,,
2009-06-19,SOYBEANS,SHORT,1179.0,"['rsi_breakdown', 'lower_high']",3.0,,
2009-08-14,CRUDE,SHORT,67.51000213623047,"['broke_50sma', 'rsi_breakdown']",3.0,,
2009-09-02,HANGSENG,SHORT,19522.0,"['broke_50sma', 'lower_high']",3.0,,
2009-09-03,SILVER,COVER,16.26799964904785,,,-16.03423051273393,stop_loss (-16.0%)
2009-09-03,XLF,SHORT,8.544576644897461,"['lower_high', 'momentum_flip']",3.0,,
2009-09-09,SUGAR,SHORT,20.989999771118164,"['lower_high', 'momentum_flip']",4.0,,
2009-09-14,SOYBEANS,PARTIAL_COVER,925.0,,,21.54368108566582,
2009-10-01,SUGAR,COVER,24.63999938964844,,,-17.389231340309998,stop_loss (-17.4%)
2009-10-01,COPPER,SHORT,2.7255001068115234,"['broke_50sma', 'lower_high', 'momentum_flip']",3.0,,
