date,year,ticker,category,pattern,stock_return_3m,put_return,pnl,cumulative,peak,drawdown,short_return,short_pnl
2010-07-06,2010,CLF,bubble,below_200sma,0.847873924527877,-1.0,-1000.0,-2569.2443087074553,5559.664775378762,-8128.909084086217,-0.847873924527877,-4239.369622639385
2010-07-07,2010,AMD,bubble,deep_oversold,0.1867389196495821,-1.0,-1000.0,-3569.2443087074553,5559.664775378762,-9128.909084086217,-0.1867389196495821,-933.6945982479106
2010-07-08,2010,RCL,volatile,deep_oversold,0.987403129058237,-1.0,-1000.0,-4569.244308707455,5559.664775378762,-10128.909084086217,-0.987403129058237,-4937.015645291185
2011-08-04,2011,DDD,bubble,deep_oversold,0.1415451285790994,-0.95,-950.0,-5519.244308707455,5559.664775378762,-11078.909084086217,-0.1415451285790994,-707.725642895497
2011-11-16,2011,REGN,bubble,below_200sma,1.369530922092704,-1.0,-1000.0,-6519.244308707455,5559.664775378762,-12078.909084086217,-1.369530922092704,-6847.654610463521
2013-03-15,2013,DDD,bubble,below_200sma,0.7355967378320509,-1.0,-1000.0,-7519.244308707455,5559.664775378762,-13078.909084086217,-0.7355967378320509,-3677.9836891602545
2013-06-20,2013,PHM,bubble,deep_oversold,-0.0159335060145244,-0.8672207832122967,-867.2207832122966,-8386.465091919752,5559.664775378762,-13946.129867298514,0.0159335060145244,79.667530072622
2013-11-20,2013,ENPH,bubble,below_200sma,0.286764669789576,-1.0,-1000.0,-9386.465091919752,5559.664775378762,-14946.129867298514,-0.286764669789576,-1433.82334894788
2014-01-28,2014,ENPH,bubble,death_cross,0.3900135496402293,-1.0,-1000.0,-10386.465091919752,5559.664775378762,-15946.129867298514,-0.3900135496402293,-1950.0677482011463
2014-03-17,2014,DDD,bubble,below_200sma,-0.1858378074646572,0.5486483955388101,548.6483955388101,-9837.816696380942,5559.664775378762,-15397.481471759704,0.1858378074646572,929.189037323286
