Entry,Exit,Ticker,Entry$,Exit$,Leverage,PnL$,PnL%,Days,Reason
2020-11-09,2020-11-24,GOLD,1853.2,1804.8,1.0,-1226.92,-2.61,15,TRAILING STOP
2020-11-09,2020-12-01,WHEAT,597.5,565.5,1.0,-2648.39,-5.36,22,TRAILING STOP
2020-11-16,2020-12-03,NATGAS,2.7,2.51,1.0,-3123.34,-7.04,17,STOP LOSS: -7.0%
2020-11-09,2020-12-04,SUGAR,14.88,14.44,1.0,-1319.68,-2.96,25,TRAILING STOP
2020-12-03,2020-12-28,NATGAS,2.51,2.31,1.0,-3574.27,-8.06,25,STOP LOSS: -8.1%
2020-11-24,2021-01-08,GOLD,1804.8,1834.1,2.5,1802.26,4.06,45,TRAILING STOP
2020-11-02,2021-01-18,EURUSD,1.16,1.21,2.5,4026.94,9.15,77,TRAILING STOP
2020-09-23,2021-01-21,BTC,10246.19,30825.7,1.0,94380.92,200.85,120,TRAILING STOP
2020-08-12,2021-01-22,SOYBEANS,890.5,1311.75,1.0,18466.72,47.3,163,TRAILING STOP
2020-10-28,2021-01-27,XLV,94.27,105.56,2.5,13778.92,29.95,91,TRAILING STOP
2020-10-26,2021-01-29,NASDAQ,11358.94,13070.69,2.5,18358.61,37.67,95,TRAILING STOP
2020-10-26,2021-01-29,SP500,3400.97,3714.24,2.5,10660.48,23.03,95,TRAILING STOP
2020-10-30,2021-01-29,NIKKEI,22977.13,27663.39,2.5,22436.0,50.99,91,TRAILING STOP
2020-10-26,2021-02-01,COPPER,3.09,3.56,1.0,6742.44,15.33,98,TRAILING STOP
2021-01-08,2021-02-04,GOLD,1834.1,1788.9,1.0,-1090.14,-2.46,27,TRAILING STOP
2021-01-18,2021-02-05,EURUSD,1.21,1.2,1.0,-373.21,-0.84,18,TRAILING STOP
2020-10-28,2021-02-22,XLK,53.5,63.98,2.5,21412.8,48.99,117,TRAILING STOP
2021-01-27,2021-02-22,XLV,105.56,105.38,1.5,-131.69,-0.26,26,TRAILING STOP
