Date,Action,Ticker,Price,Shares,Leverage,PnL%,Reason,Signals,Portfolio,Cash,NumPositions
2002-10-09,LEVERAGE_UP,PLATINUM,584.3,23.7661,2.0,2.87,Strength=4 (1.0x->2.0x),Mom12m=32.7% | Mom6m=10.3% | Mom3m=10.4% | Mom1m=6.4% | GoldenCross | AboveSMA50 | Breakout,268721.68,167199.56,7
2002-10-09,DELEVERAGE,NATGAS,3.918,3817.0109,1.0,12.14,Pullback=5.8%,Mom12m=75.9% | Mom6m=26.2% | Mom3m=38.4% | Mom1m=16.7% | GoldenCross | AboveSMA50,268721.68,167199.56,7
2002-10-09,LEVERAGE_UP,NATGAS,3.918,3817.0109,2.0,12.14,Strength=4 (1.0x->2.0x),Mom12m=75.9% | Mom6m=26.2% | Mom3m=38.4% | Mom1m=16.7% | GoldenCross | AboveSMA50,268721.68,167199.56,7
2002-10-09,DELEVERAGE,WHEAT,372.25,35.3678,1.0,-0.67,Pullback=2.5%,Mom12m=37.6% | Mom6m=37.2% | Mom3m=14.2% | GoldenCross,268721.68,167199.56,7
2002-10-09,SELL,WHEAT,372.25,35.3678,1.0,-0.67,"TrailingStop (High=381.75, Stop=375.79)",Mom12m=37.6% | Mom6m=37.2% | Mom3m=14.2% | GoldenCross,268721.68,167199.56,7
2002-10-09,BUY,CRUDE,29.35,457.7882,1.5,0.0,Strength=3,Mom12m=29.7% | Mom6m=12.4% | Mom3m=9.4% | GoldenCross | AboveSMA50,268721.68,166929.14,7
2002-10-10,DELEVERAGE,COFFEE,57.4,239.3586,1.0,2.41,Pullback=2.4%,Mom12m=22.8% | Mom3m=15.1% | GoldenCross | AboveSMA50,266516.92,166929.14,7
2002-10-10,DELEVERAGE,NATGAS,3.828,3817.0109,1.0,9.56,MomDecay=45.6%,Mom12m=68.6% | Mom6m=22.3% | Mom3m=37.4% | Mom1m=17.8% | GoldenCross | AboveSMA50,266516.92,166929.14,7
2002-10-10,LEVERAGE_UP,NATGAS,3.828,3817.0109,2.0,9.56,Strength=4 (1.0x->2.0x),Mom12m=68.6% | Mom6m=22.3% | Mom3m=37.4% | Mom1m=17.8% | GoldenCross | AboveSMA50,266516.92,166929.14,7
2002-10-10,DELEVERAGE,SUGAR,6.96,2075.008,1.0,7.24,MomDecay=52.7%,Mom6m=26.3% | Mom3m=16.2% | Mom1m=4.7% | GoldenCross | AboveSMA50,266516.92,166929.14,7
2002-10-10,LEVERAGE_UP,SUGAR,6.96,2075.008,1.5,7.24,Strength=3 (1.0x->1.5x),Mom6m=26.3% | Mom3m=16.2% | Mom1m=4.7% | GoldenCross | AboveSMA50,266516.92,166929.14,7
2002-10-11,DELEVERAGE,TBOND,112.3125,120.8335,1.0,2.74,MomDecay=48.9%,Mom6m=10.9% | Mom3m=7.1% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-11,LEVERAGE_UP,COFFEE,57.35,239.3586,1.5,2.32,Strength=3 (1.0x->1.5x),Mom12m=24.7% | Mom6m=7.8% | Mom3m=17.0% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-11,DELEVERAGE,NATGAS,4.146,3817.0109,1.0,18.66,MomDecay=41.7%,Mom12m=73.6% | Mom6m=21.2% | Mom3m=48.9% | Mom1m=24.5% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-11,LEVERAGE_UP,NATGAS,4.146,3817.0109,2.0,18.66,Strength=4 (1.0x->2.0x),Mom12m=73.6% | Mom6m=21.2% | Mom3m=48.9% | Mom1m=24.5% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-11,DELEVERAGE,SUGAR,6.91,2075.008,1.0,6.47,MomDecay=50.4%,Mom6m=24.5% | Mom3m=21.0% | Mom1m=2.4% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-11,LEVERAGE_UP,SUGAR,6.91,2075.008,1.5,6.47,Strength=3 (1.0x->1.5x),Mom6m=24.5% | Mom3m=21.0% | Mom1m=2.4% | GoldenCross | AboveSMA50,268983.71,166929.14,7
2002-10-14,SELL,TNOTE10,114.8125,115.6001,1.5,1.84,"TrailingStop (High=116.16, Stop=114.85)",Mom6m=9.8% | Mom3m=6.0% | GoldenCross | AboveSMA50,273047.69,166929.14,7
2002-10-14,LEVERAGE_UP,COFFEE,62.8,239.3586,2.0,12.04,Strength=4 (1.5x->2.0x),Mom12m=35.1% | Mom6m=18.2% | Mom3m=27.4% | Mom1m=5.0% | GoldenCross | AboveSMA50,273047.69,180321.59,6
2002-10-14,DELEVERAGE,NATGAS,4.303,3817.0109,1.0,23.15,MomDecay=41.8%,Mom12m=73.5% | Mom6m=30.0% | Mom3m=50.3% | Mom1m=24.1% | GoldenCross | AboveSMA50,273047.69,180321.59,6
2002-10-14,LEVERAGE_UP,NATGAS,4.303,3817.0109,2.0,23.15,Strength=4 (1.0x->2.0x),Mom12m=73.5% | Mom6m=30.0% | Mom3m=50.3% | Mom1m=24.1% | GoldenCross | AboveSMA50,273047.69,180321.59,6
2002-10-15,SELL,TBOND,110.1563,120.8335,1.0,0.77,"TrailingStop (High=114.62, Stop=111.98)",Mom6m=10.1% | Mom3m=5.7% | GoldenCross,276654.42,180321.59,6
2002-10-15,DELEVERAGE,NATGAS,4.247,3817.0109,1.0,21.55,MomDecay=46.3%,Mom12m=67.8% | Mom6m=21.9% | Mom3m=49.5% | Mom1m=21.1% | GoldenCross | AboveSMA50,276654.42,193632.16,5
2002-10-15,LEVERAGE_UP,NATGAS,4.247,3817.0109,2.0,21.55,Strength=4 (1.0x->2.0x),Mom12m=67.8% | Mom6m=21.9% | Mom3m=49.5% | Mom1m=21.1% | GoldenCross | AboveSMA50,276654.42,193632.16,5
2002-10-15,LEVERAGE_UP,SUGAR,7.05,2075.008,2.0,8.63,Strength=4 (1.5x->2.0x),Mom12m=12.4% | Mom6m=24.6% | Mom3m=23.0% | Mom1m=3.7% | GoldenCross | AboveSMA50,276654.42,193632.16,5
2002-10-15,BUY,COTTON,44.04,314.0945,1.5,0.0,Strength=3,Mom12m=41.6% | Mom6m=19.7% | Mom1m=7.0% | GoldenCross | AboveSMA50,276654.42,179799.44,6
2002-10-15,BUY,WHEAT,393.25,35.1754,1.5,0.0,Strength=3,Mom12m=43.1% | Mom6m=42.6% | Mom3m=17.4% | GoldenCross | AboveSMA50,276654.42,165966.72,7
2002-10-16,DELEVERAGE,COFFEE,67.1,239.3586,1.0,19.71,Pullback=3.7%,Mom12m=46.2% | Mom6m=25.4% | Mom3m=41.0% | Mom1m=10.0% | GoldenCross | AboveSMA50,275967.44,165966.72,7
