date,ticker,pattern,mom_12m,rsi,pct_from_high,fwd_6m,fwd_12m,year,put_return,quarter
2013-11-07 00:00:00-05:00,TSLA,deep_oversold,3.4315145605197737,28.0378428176804,-0.2771887818066332,0.3212419955272081,0.7185375233186067,2013,-1.0,2013Q4
2014-03-24 00:00:00-04:00,TSLA,deep_oversold,5.012289235624545,24.32994420941519,-0.13604606242765066,0.1356224504985024,-0.08379891389766192,2014,-0.95,2014Q1
2020-10-30 00:00:00-04:00,TSLA,deep_oversold,5.160929539906963,27.08225060014354,-0.2213036287910849,0.7359036001879469,2.1146017105620323,2020,-1.0,2020Q4
2021-02-22 00:00:00-05:00,TSLA,deep_oversold,2.9650389975534286,24.383645069095053,-0.1909092011796347,-0.047921672889454814,0.19941216610881862,2021,-0.6006527259212099,2021Q1
2021-05-11 00:00:00-04:00,TSLA,deep_oversold,2.803818788121583,24.253492054972497,-0.3010904965094284,0.8842190204806963,0.29624102755037107,2021,-1.0,2021Q2
1987-10-19 00:00:00-04:00,AAPL,below_200sma,1.2267942816307391,20.000136048061435,-0.38396609321405534,0.10732369884299042,0.06327461009720547,1987,-0.95,1987Q4
1998-12-08 00:00:00-05:00,AAPL,below_200sma,1.0602363964693842,41.72921365211834,-0.2543622781331189,0.5009784447111483,2.4327529857595227,1998,-1.0,1998Q4
2000-04-12 00:00:00-04:00,AAPL,deep_oversold,2.05594644834832,28.09560461141278,-0.242306298684873,-0.6407324228002059,-0.5895651791734358,2000,4.3394368566683825,2000Q2
2000-04-04 00:00:00-04:00,BB,down_50_from_high,5.762429799044311,34.99784104171037,-0.510007982460577,0.3439543480966605,-0.7551633797439874,2000,-1.0,2000Q2
2000-07-27 00:00:00-04:00,BB,down_50_from_high,1.262211052840053,49.11032590811496,-0.6477181451077926,0.3011362838351064,-0.5587272797072227,2000,-1.0,2000Q3
2004-03-23 00:00:00-05:00,BB,deep_oversold,5.460850227361728,29.40314102777654,-0.14081719482668967,0.698984317010334,0.7661587866462081,2004,-1.0,2004Q1
2004-04-30 00:00:00-04:00,BB,deep_oversold,4.467671383223791,24.054838594967876,-0.20659498872218035,1.0252581999180257,0.5037886708620889,2004,-1.0,2004Q2
2004-07-22 00:00:00-04:00,BB,deep_oversold,4.813665370594436,18.531673341258596,-0.14873372015120867,0.1949375131729787,0.16140692726804007,2004,-1.0,2004Q3
2021-02-11 00:00:00-05:00,BB,down_50_from_high,1.0527182348887205,47.2926663687769,-0.5035856633952218,-0.18378811836613695,-0.41974317841585507,2021,0.5315676530511414,2021Q1
2021-04-01 00:00:00-04:00,BB,down_50_from_high,1.5595240029685953,18.323593339971254,-0.6573705079375718,0.13139524542363867,-0.13255817357625854,2021,-0.95,2021Q2
2021-07-01 00:00:00-04:00,BB,down_50_from_high,1.5460250088110126,32.82051198450645,-0.5151394465603856,-0.22021366379415053,-0.5521775041003294,2021,0.8351138649512545,2021Q3
