Date,Asset_1,Asset_2,Equity,Score_1
2022-12-17,SHV,TLT,8.46145244287112,21.01493983025195
2022-12-18,SHV,TLT,8.390740514023362,20.33640145751199
2022-12-19,SHV,TLT,8.317006517146307,21.0158871647424
2022-12-20,SHV,GLD,8.302566366987064,22.218178353134945
2022-12-21,SHV,GLD,8.254287146628137,23.469434938504143
2022-12-22,SHV,GLD,8.26628578117042,23.431329322144904
2022-12-23,SHV,DBA,8.25801949538925,20.932513666640055
2022-12-24,SHV,DBA,8.25801949538925,20.932513666640055
2022-12-25,SHV,DBA,8.25801949538925,20.27287432849637
2022-12-26,SHV,DBA,8.239622879215355,20.27287432849637
2022-12-27,SHV,GLD,8.213588130866603,20.27287432849637
2022-12-28,SHV,DBA,8.187355670433305,20.753323725607167
2022-12-29,SHV,DBA,8.186982436312823,20.671765362919796
2022-12-30,SHV,GLD,8.17879545387651,19.324298175042127
2022-12-31,SHV,DBA,8.170616658422635,17.934360426848848
2023-01-01,SHV,DBA,8.170616658422635,18.69962779176124
2023-01-02,SHV,DBA,8.126755299978349,18.69962779176124
2023-01-03,SHV,GLD,8.157204172958306,19.797511560818965
2023-01-04,SHV,GLD,8.107162223831821,19.799434039592835
2023-01-05,SHV,GLD,8.183731207076447,19.79870294166239
2023-01-06,SHV,GLD,8.183731207076447,19.37978603593319
2023-01-07,SHV,GLD,8.183731207076447,17.852730683008385
2023-01-08,SHV,GLD,8.19329079195782,17.852730683008385
2023-01-09,SHV,GLD,8.207976976175054,18.50523120668685
2023-01-10,SHV,GLD,8.206278984683443,17.678573527563618
2023-01-11,SHV,GLD,8.255980969409109,19.085986248844442
2023-01-12,SHV,GLD,8.305524219531442,18.842071115839094
2023-01-13,SHV,GLD,8.305524219531442,19.628754652625616
2023-01-14,SHV,GLD,8.305524219531442,18.20196161930989
2023-01-15,ETH,SHV,8.362298619888536,17.59993890611441
2023-01-16,ETH,SHV,8.339606533168393,17.521861526826235
2023-01-17,SHV,ETH,8.200786325994326,18.49031455987711
2023-01-18,SHV,ETH,8.302145855227915,18.49000280848335
2023-01-19,SHV,ETH,8.589512461064754,18.78184775059511
2023-01-20,SHV,ETH,8.505064047069647,18.778007183062126
2023-01-21,SHV,BTC,8.485888873428161,17.327789808061194
2023-01-22,SHV,BTC,8.525855412986202,18.195130758584853
2023-01-23,SHV,BTC,8.470859167333215,18.195130758584853
2023-01-24,SHV,BTC,8.562467887450557,18.887466521829676
2023-01-25,SHV,BTC,8.547877288032351,20.42773061926432
2023-01-26,SHV,BTC,8.5567917994477,21.93750516080872
2023-01-27,SHV,BTC,8.547960416112161,21.426460395224673
2023-01-28,SHV,BTC,8.68593061790619,20.58569996709012
2023-01-29,SHV,BTC,8.515629880761496,21.689650904949275
2023-01-30,SHV,BTC,8.571781142492588,22.533127171268514
2023-01-31,SHV,BTC,8.681210440271277,23.40434093997896
2023-02-01,SHV,BTC,8.63670159779838,25.08643517391431
2023-02-02,SHV,BTC,8.63176863021144,25.205708705939028
2023-02-03,SHV,AAPL,8.623136861581228,21.860998594906338
2023-02-04,SHV,AAPL,8.623136861581228,20.597826696519522
2023-02-05,SHV,AAPL,8.545835065457812,19.378939842293544
2023-02-06,SHV,AAPL,8.628454615560115,19.378939842293544
2023-02-07,SHV,NVDA,8.626829027709926,20.096876296701804
2023-02-08,SHV,NVDA,8.654038939083986,20.59622320764363
2023-02-09,SHV,NVDA,8.446377042904778,23.18451708288624
2023-02-10,SHV,AAPL,8.437930665861874,21.615328550590515
2023-02-11,SHV,AAPL,8.437930665861874,20.940260869882366
2023-02-12,SHV,AAPL,8.518427069478822,20.940260869882366
2023-02-13,SHV,AAPL,8.500432076814937,22.52832273569254
2023-02-14,SHV,NVDA,8.454055479206156,22.52832273569254
2023-02-15,SHV,AAPL,8.403480660001403,23.400116589649006
2023-02-16,SHV,AAPL,8.372152067518513,22.924822953695617
2023-02-17,SHV,AAPL,8.372152067518513,22.921283082328106
2023-02-18,SHV,DBA,8.363779915450994,21.336888458019754
2023-02-19,SHV,DBA,8.363779915450994,20.049617041347886
2023-02-20,SHV,DBA,8.404619557845404,20.049617041347886
2023-02-21,SHV,DBA,8.385444395561429,20.049617041347886
2023-02-22,SHV,DBA,8.382890231753755,21.589461653112483
2023-02-23,SHV,DBA,8.322111625441545,22.377631611933637
2023-02-24,SHV,UUP,8.313789513816104,21.589248147709394
2023-02-25,SHV,UUP,8.313789513816104,20.04972857694227
2023-02-26,SHV,UUP,8.292658654292957,19.299532509653954
2023-02-27,SHV,UUP,8.30436337919253,20.559017116187366
2023-02-28,SHV,UUP,8.283202825458698,20.559017116187366
2023-03-01,SHV,UUP,8.307061802311999,21.07353726435632
2023-03-02,SHV,UUP,8.291363121783478,21.656493687840513
2023-03-03,SHV,UUP,8.291363121783478,20.871531361588627
2023-03-04,SHV,UUP,8.291363121783478,19.33032908169308
2023-03-05,SHV,USO,8.320795476815269,21.62010333566923
2023-03-06,SHV,USO,8.164224069320998,22.43924504990916
2023-03-07,SHV,UUP,8.155006108493332,20.062087692971573
2023-03-08,SHV,UUP,8.14582809295356,20.817021649382003
2023-03-09,SHV,UUP,8.121981373072979,21.08400407449013
2023-03-10,SHV,UUP,8.121981373072979,21.40778099291188
2023-03-11,SHV,UUP,8.121981373072979,19.845654270215633
2023-03-12,SHV,UUP,8.089530751771624,19.845654270215633
2023-03-13,SHV,GLD,8.055842839341317,18.046205406636215
2023-03-14,SHV,ETH,7.940012152332783,14.397129464307755
2023-03-15,SHV,GLD,7.939724135234882,14.902078067249308
2023-03-16,SHV,GLD,8.058207883553726,14.5392864495049
2023-03-17,SHV,GLD,8.058207883553726,15.736938179516857
2023-03-18,SHV,GLD,8.058207883553726,14.521230682057466
2023-03-19,SHV,GLD,8.059012571442134,14.212570759714255
2023-03-20,SHV,GLD,7.981858792338196,13.510007742058065
2023-03-21,SHV,NVDA,8.01625965291625,12.457208962140784
2023-03-22,SHV,NVDA,8.12828736760811,13.439954309036384
2023-03-23,SHV,NVDA,8.067074876534525,14.851677797672924
2023-03-24,SHV,NVDA,8.067074876534525,14.35590820311433
2023-03-25,SHV,GLD,8.059007801657991,13.379061339362668
2023-03-26,SHV,MSFT,7.99083271885814,13.095189396409848
2023-03-27,SHV,MSFT,7.9745700304303435,13.095189396409848
2023-03-28,SHV,GLD,7.947196388408363,13.37797141911717
2023-03-29,SHV,MSFT,7.990063612292273,13.121108032261656
2023-03-30,SHV,MSFT,8.050200870343907,13.66203949130382
2023-03-31,SHV,MSFT,8.050200870343907,13.403344468737098
2023-04-01,SHV,AAPL,8.042150669473564,12.259493148391156
2023-04-02,SHV,MSFT,8.018870440803713,11.97905259866528
2023-04-03,SHV,AAPL,7.999288212261023,11.70755685399909
