date,ticker,old_lev,new_lev,reason
2005-03-04,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=8.8% | 1m=4.1% | >5%>SMA200 | GoldenX
2005-03-04,DOW,3.0,3.0,LEVERAGE UP to 3.0x: 12m=3.3% | 1m=3.2% | >5%>SMA200 | GoldenX
2005-03-04,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=2.1% | GoldenX
2005-03-04,HANGSENG,1.0,1.0,DELEVERAGE: Mom decay -1.3% vs peak 1.8%
2005-03-07,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=50.6% | Strong12m | 3m=24.4% | 1m=14.6% | >5%>SMA200 | GoldenX
2005-03-07,COPPER,1.0,1.0,DELEVERAGE: Mom decay 14.9% vs peak 29.5%
2005-03-07,XLF,1.0,1.0,DELEVERAGE: Mom decay 1.3% vs peak 2.7%
2005-03-08,XLE,1.0,1.0,DELEVERAGE: Vol spike ATR 0.29 vs entry 0.14
2005-03-08,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=13.7% | 1m=5.6% | >5%>SMA200 | GoldenX
2005-03-08,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=1.6% | GoldenX
2005-03-08,GOLD,3.0,3.0,LEVERAGE UP to 3.0x: 12m=12.1% | 1m=6.4% | >5%>SMA200 | GoldenX
2005-03-09,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=46.6% | Strong12m | 3m=23.3% | 1m=11.7% | >5%>SMA200 | GoldenX
2005-03-09,COPPER,1.0,1.0,DELEVERAGE: Mom decay 12.3% vs peak 29.5%
2005-03-09,XLF,1.0,1.0,DELEVERAGE: Mom decay 1.1% vs peak 2.7%
2005-03-09,NIKKEI,1.0,1.0,DELEVERAGE: Mom decay 6.2% vs peak 11.4%
2005-03-09,EURUSD,3.0,3.0,LEVERAGE UP to 3.0x: 12m=9.0% | 1m=4.8% | >5%>SMA200 | GoldenX
2005-03-10,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=15.7% | Strong12m | 3m=6.3% | 1m=4.3% | >5%>SMA200 | GoldenX
2005-03-10,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=3.3% | GoldenX
2005-03-10,NIKKEI,3.0,3.0,LEVERAGE UP to 3.0x: 12m=4.4% | 3m=8.0% | 1m=3.3% | >5%>SMA200 | GoldenX
2005-03-10,CRUDE,1.0,1.0,DELEVERAGE: Pullback 2.2%
2005-03-11,COPPER,1.0,1.0,DELEVERAGE: Mom decay 16.6% vs peak 29.5%
2005-03-11,NIKKEI,1.0,1.0,DELEVERAGE: Mom decay 5.0% vs peak 11.4%
2005-03-11,CRUDE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=50.0% | Strong12m | 3m=29.8% | 1m=19.7% | >5%>SMA200 | GoldenX
2005-03-14,NIKKEI,3.0,3.0,LEVERAGE UP to 3.0x: 12m=3.9% | 3m=8.3% | 1m=2.6% | >5%>SMA200 | GoldenX
2005-03-15,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=12.0% | 3m=6.7% | >5%>SMA200 | GoldenX
2005-03-16,COPPER,1.0,1.0,DELEVERAGE: Mom decay 15.0% vs peak 29.5%
2005-03-16,XLF,1.0,1.0,DELEVERAGE: Mom decay 1.9% vs peak 3.9%
2005-03-16,XLV,1.0,1.0,DELEVERAGE: Mom decay -0.8% vs peak 0.9%
2005-03-17,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=11.8% | >5%>SMA200 | GoldenX
2005-03-17,FTSE,1.0,1.0,DELEVERAGE: Short-term reversal -2.6%
